World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score,Year
1,Harvard University,USA,1,2,1,1,1,100,2019
2,Massachusetts Institute of Technology,USA,2,1,10,2,5,96.7,2019
3,Stanford University,USA,3,9,3,3,2,95.2,2019
4,University of Cambridge,United Kingdom,1,4,19,5,11,94.1,2019
5,University of Oxford,United Kingdom,2,10,24,10,4,93.3,2019
6,Columbia University,USA,4,13,12,8,12,92.6,2019
7,Princeton University,USA,5,6,14,6,54,92,2019
8,"University of California, Berkeley",USA,6,5,48,9,6,91.6,2019
9,University of Pennsylvania,USA,7,15,8,30,14,91.1,2019
10,University of Chicago,USA,8,11,18,19,16,90.7,2019
11,California Institute of Technology,USA,9,3,179,4,52,90.4,2019
12,Yale University,USA,10,8,32,12,17,90.1,2019
13,University of Tokyo,Japan,1,22,6,69,23,89.8,2019
14,Cornell University,USA,11,12,26,13,22,89.5,2019
15,Northwestern University,USA,12,160,16,31,24,89.3,2019
16,"University of California, Los Angeles",USA,13,32,57,15,10,89,2019
17,"University of Michigan, Ann Arbor",USA,14,35,35,85,9,88.8,2019
18,Johns Hopkins University,USA,15,31,164,20,7,88.6,2019
19,University of Washington - Seattle,USA,16,47,208,14,8,88.4,2019
20,University of Illinois at Urbana–Champaign,USA,17,16,129,17,46,88.2,2019
21,Kyoto University,Japan,2,33,29,36,58,88,2019
22,University College London,United Kingdom,3,36,669,18,13,87.8,2019
23,Duke University,USA,18,100,46,25,20,87.7,2019
24,University of Toronto,Canada,1,236,162,24,3,87.5,2019
25,University of Wisconsin–Madison,USA,19,28,80,35,27,87.3,2019
26,New York University,USA,20,64,39,37,39,87.2,2019
27,University of California San Diego,USA,21,67,-,16,15,87.1,2019
28,Imperial College London,United Kingdom,4,60,101,53,18,86.9,2019
29,ETH Zurich,Switzerland,1,41,90,28,36,86.8,2019
30,McGill University,Canada,2,27,91,71,41,86.7,2019
31,University of Texas at Austin,USA,22,72,58,43,44,86.5,2019
32,École Polytechnique,France,1,94,4,178,356,86.4,2019
33,Seoul National University,South Korea,1,-,21,-,48,86.3,2019
34,"University of California, San Francisco",USA,23,-,-,11,21,86.2,2019
35,Sorbonne University,France,2,55,339,82,19,86.1,2019
36,University of North Carolina at Chapel Hill,USA,24,214,107,46,28,85.9,2019
37,University of Edinburgh,United Kingdom,5,38,336,65,47,85.8,2019
38,University of Minnesota - Twin Cities,USA,25,77,291,90,25,85.7,2019
39,University of Copenhagen,Denmark,1,119,352,48,26,85.6,2019
40,University of Texas Southwestern Medical Center,USA,26,19,-,21,142,85.5,2019
41,Washington University in St. Louis,USA,27,150,163,42,35,85.4,2019
42,Karolinska Institute,Sweden,1,49,-,39,59,85.3,2019
43,École normale supérieure,France,3,7,543,123,360,85.2,2019
44,University of Southern California,USA,28,271,115,23,66,85.2,2019
45,Brown University,USA,29,66,49,81,118,85.1,2019
46,Vanderbilt University,USA,30,387,86,51,65,85,2019
47,Pennsylvania State University,USA,31,320,161,52,45,84.9,2019
