World Rank,Institution,Country,Share,Count,Year,Publication share
1,Harvard University,United States of America (USA),876.04,2290,2016,1.7746297688331616
2,Stanford University,United States of America (USA),603.86,1481,2016,1.147697243511752
3,Massachusetts Institute of Technology (MIT),United States of America (USA),580.33,1749,2016,1.3553831727900434
4,University of Oxford,United Kingdom (UK),466.85,1248,2016,0.9671344766392077
5,University of Cambridge,United Kingdom (UK),438.52,1277,2016,0.9896079540611123
6,The University of Tokyo (UTokyo),Japan,427.14,1096,2016,0.849342457048535
7,Peking University (PKU),China,386.5,1256,2016,0.9733340566176643
8,"University of California, Berkeley (UC Berkeley)",United States of America (USA),384.78,1179,2016,0.9136630993250208
9,Swiss Federal Institute of Technology Zurich (ETH Zurich),Switzerland,355.01,910,2016,0.7052022225494223
10,Yale University,United States of America (USA),349.15,872,2016,0.6757542176517541
11,"University of California, San Diego (UC San Diego)",United States of America (USA),333.41,937,2016,0.7261258049767129
12,"University of California, Los Angeles (UCLA)",United States of America (USA),328.07,888,2016,0.688153377608667
13,University of Michigan (U-M),United States of America (USA),321.43,858,2016,0.6649049526894553
14,Nanjing University (NJU),China,319.47,747,2016,0.5788857804883719
15,Tsinghua University,China,315.87,1019,2016,0.7896714997558915
16,Columbia University in the City of New York (CU),United States of America (USA),313.3,908,2016,0.7036523275548082
17,California Institute of Technology (Caltech),United States of America (USA),307.03,865,2016,0.6703295851706047
18,University of Toronto (U of T),Canada,291.99,788,2016,0.6106586278779613
19,The University of Texas at Austin (UT Austin),United States of America (USA),288.86,652,2016,0.5052657682442014
20,Northwestern University (NU),United States of America (USA),284.07,670,2016,0.5192148231957284
21,University of Science and Technology of China (USTC),China,275.75,732,2016,0.567261568028766
22,University of Washington (UW),United States of America (USA),267.88,820,2016,0.6354569477917871
23,Kyoto University,Japan,264.41,674,2016,0.5223146131849568
24,University of Pennsylvania (Penn),United States of America (USA),260.77,653,2016,0.5060407157415084
25,University of Wisconsin-Madison (UW-Madison),United States of America (USA),259.89,683,2016,0.5292891406607202
26,Cornell University,United States of America (USA),257.65,750,2016,0.5812106229802931
