World Rank,Institution,Share,Count,Year,Publication share,Country
1,Harvard University,925.43,2607.0,2021,1.647778627546409,United States of America (USA)
2,Stanford University,637.25,1685.0,2021,1.0650199414713077,United States of America (USA)
3,Massachusetts Institute of Technology (MIT),526.03,1838.0,2021,1.1617250162755273,United States of America (USA)
4,The University of Tokyo (UTokyo),461.12,1310.0,2021,0.8279976993041027,Japan
5,University of Oxford,459.53,1436.0,2021,0.9076371726722836,United Kingdom (UK)
6,University of Cambridge,457.1,1441.0,2021,0.9107974692345131,United Kingdom (UK)
7,University of Science and Technology of China (USTC),449.73,1271.0,2021,0.8033473861187133,China
8,Peking University (PKU),446.96,1636.0,2021,1.0340490351614595,China
9,University of Chinese Academy of Sciences (UCAS),425.45,2506.0,2021,1.5839406369893752,China
10,Nanjing University (NJU),417.66,1021.0,2021,0.6453325580072434,China
11,University of Michigan (U-M),398.48,1035.0,2021,0.6541813883814857,United States of America (USA)
12,"University of California, Berkeley (UC Berkeley)",394.86,1302.0,2021,0.8229412248045357,United States of America (USA)
13,Tsinghua University,394.18,1360.0,2021,0.8596006649263968,China
14,Swiss Federal Institute of Technology Zurich (ETH Zurich),379.03,1058.0,2021,0.6687187525677409,Switzerland
15,Yale University,360.72,1008.0,2021,0.637115786945447,United States of America (USA)
16,Zhejiang University (ZJU),342.75,852.0,2021,0.5385145342038897,China
17,"University of California, Los Angeles (UCLA)",339.82,1121.0,2021,0.7085384892518314,United States of America (USA)
18,University of Toronto (U of T),337.23,887.0,2021,0.5606366101394955,Canada
19,"University of California, San Diego (UC San Diego)",336.45,982.0,2021,0.6206822448218541,United States of America (USA)
20,Columbia University in the City of New York (CU),331.43,1022.0,2021,0.6459646173196892,United States of America (USA)
21,Cornell University,315.36,1003.0,2021,0.6339554903832175,United States of America (USA)
22,Northwestern University (NU),314.61,756.0,2021,0.4778368402090852,United States of America (USA)
23,University of Pennsylvania (Penn),304.86,860.0,2021,0.5435710087034566,United States of America (USA)
24,National University of Singapore (NUS),301.99,851.0,2021,0.5378824748914438,Singapore
25,Shanghai Jiao Tong University (SJTU),296.7,842.0,2021,0.5321939410794309,China
26,California Institute of Technology (Caltech),294.29,901.0,2021,0.5694854405137377,United States of America (USA)
27,Johns Hopkins University (JHU),292.99,928.0,2021,0.5865510419497766,United States of America (USA)
28,Fudan University,291.42,802.0,2021,0.5069115685815957,China
29,Princeton University,275.88,763.0,2021,0.4822612553962064,United States of America (USA)
30,Sun Yat-sen University (SYSU),269.08,715.0,2021,0.4519224083988042,China
31,University of Washington (UW),268.53,958.0,2021,0.605512821323153,United States of America (USA)
32,Kyoto University,267.45,696.0,2021,0.43991328146233244,Japan
33,Swiss Federal Institute of Technology Lausanne (EPFL),260.31,630.0,2021,0.39819736684090434,Switzerland
34,The University of Texas at Austin (UT Austin),259.06,730.0,2021,0.4614032980854923,United States of America (USA)
35,Imperial College London (ICL),253.95,962.0,2021,0.6080410585729364,United Kingdom (UK)
36,The University of Chicago (UChicago),252.08,732.0,2021,0.4626674167103841,United States of America (USA)
37,"University of California, San Francisco (UCSF)",234.4,696.0,2021,0.43991328146233244,United States of America (USA)
38,Nankai University (NKU),230.51,566.0,2021,0.35774557084436803,China
39,The Pennsylvania State University (Penn State),227.29,609.0,2021,0.38492412127954084,United States of America (USA)
40,Washington University in St. Louis (WUSTL),222.56,616.0,2021,0.389348536466662,United States of America (USA)
41,Nanyang Technological University (NTU),221.92,570.0,2021,0.36027380809415155,Singapore
42,Sichuan University (SCU),220.61,396.0,2021,0.25029548772856847,China
43,Southern University of Science and Technology (SUSTech),219.63,589.0,2021,0.37228293503062326,China
44,Duke University,216.81,700.0,2021,0.442441518712116,United States of America (USA)
45,University of Illinois at Urbana-Champaign (UIUC),216.48,575.0,2021,0.36343410465638093,United States of America (USA)
46,University of Minnesota (UMN),212.93,664.0,2021,0.41968738346406426,United States of America (USA)
47,UCL,211.2,919.0,2021,0.5808625081377636,United Kingdom (UK)
48,University of Wisconsin-Madison (UW-Madison),208.46,618.0,2021,0.3906126550915538,United States of America (USA)
49,Wuhan University (WHU),207.9,495.0,2021,0.31286935966071056,China
50,New York University (NYU),200.4,636.0,2021,0.40198972271557964,United States of America (USA)
51,Seoul National University (SNU),198.8,551.0,2021,0.34826468115767983,South Korea
52,Soochow University,197.1,423.0,2021,0.2673610891646072,China
53,"University of California, Santa Barbara (UCSB)",196.14,578.0,2021,0.3653302825937186,United States of America (USA)
54,Xiamen University (XMU),194.41,394.0,2021,0.24903136910367668,China
55,"University of California, Davis (UC Davis)",191.16,586.0,2021,0.3703867570932856,United States of America (USA)
56,Korea Advanced Institute of Science and Technology (KAIST),188.45,399.0,2021,0.25219166566590606,South Korea
57,Osaka University,184.21,519.0,2021,0.3280387831594117,Japan
58,Jilin University (JLU),182.03,418.0,2021,0.26420079260237783,China
59,Texas A&M University (TAMU),176.97,518.0,2021,0.3274067238469658,United States of America (USA)
60,The University of North Carolina at Chapel Hill (UNC),174.73,517.0,2021,0.3267746645345199,United States of America (USA)
61,Weizmann Institute of Science (WIS),174.21,430.0,2021,0.2717855043517283,Israel
62,Tianjin University (TJU),173.73,663.0,2021,0.41905532415161845,China
63,Huazhong University of Science and Technology (HUST),171.69,460.0,2021,0.2907472837251047,China
64,University of Colorado Boulder (CU-Boulder),167.53,646.0,2021,0.4083103158400384,United States of America (USA)
65,Ludwig Maximilians University of Munich (LMU),162.96,648.0,2021,0.40957443446493025,Germany
66,McGill University,162.68,587.0,2021,0.37101881640573153,Canada
67,Tohoku University,162.63,481.0,2021,0.3040205292864682,Japan
68,Technical University of Munich (TUM),161.55,631.0,2021,0.3988294261533502,Germany
69,The University of Queensland (UQ),161.24,525.0,2021,0.33183113903408695,Australia
70,Purdue University,159.74,433.0,2021,0.27368168228906603,United States of America (USA)
71,The Ohio State University (OSU),158.96,568.0,2021,0.35900968946925976,United States of America (USA)
72,University of Copenhagen (UCPH),158.63,664.0,2021,0.41968738346406426,Denmark
73,University of Pittsburgh (Pitt),158.54,517.0,2021,0.3267746645345199,United States of America (USA)
74,"University of California, Irvine (UCI)",156.38,482.0,2021,0.3046525885989141,United States of America (USA)
75,University of New South Wales (UNSW Sydney),155.5,545.0,2021,0.3444723252830046,Australia
76,"University of Maryland, College Park (UMCP)",154.35,660.0,2021,0.41715914621428074,United States of America (USA)
77,The University of Texas Southwestern Medical Center (UT Southwestern Medical Center),149.89,312.0,2021,0.19720250548311452,United States of America (USA)
78,Georgia Institute of Technology (Georgia Tech),149.61,458.0,2021,0.289483165100213,United States of America (USA)
79,The University of Manchester (UoM),148.3,569.0,2021,0.3596417487817057,United Kingdom (UK)
80,Nagoya University,147.29,415.0,2021,0.2623046146650402,Japan
81,The University of Edinburgh,143.5,656.0,2021,0.41463090896449717,United Kingdom (UK)
82,University of Zurich (UZH),143.13,652.0,2021,0.41210267171471365,Switzerland
83,Hunan University (HNU),140.66,295.0,2021,0.18645749717153456,China
84,University of Münster (WWU),139.91,362.0,2021,0.22880547110540853,Germany
85,East China Normal University (ECNU),139.08,326.0,2021,0.20605133585735683,China
86,Heidelberg University (Uni Heidelberg),138.84,626.0,2021,0.39566912959112077,Germany
87,University of Bristol (UoB),137.02,469.0,2021,0.2964358175371177,United Kingdom (UK)
88,Shandong University (SDU),134.27,592.0,2021,0.3741791129679609,China
89,Vanderbilt University (VU),133.88,426.0,2021,0.26925726710194486,United States of America (USA)
90,Karlsruhe Institute of Technology (KIT),133.41,431.0,2021,0.27241756366417424,Germany
91,Tokyo Institute of Technology (Tokyo Tech),132.95,383.0,2021,0.24207871666677203,Japan
92,The University of British Columbia (UBC),132.72,497.0,2021,0.3141334782856023,Canada
93,University of Southern California (USC),132.07,413.0,2021,0.26104049604014845,United States of America (USA)
94,Utrecht University (UU),131.5,634.0,2021,0.40072560409068786,Netherlands
95,Harbin Institute of Technology (HIT),131.46,302.0,2021,0.19088191235865573,China
96,"Rutgers, The State University of New Jersey (RU)",131.11,472.0,2021,0.2983319954744553,United States of America (USA)
97,The University of Utah (Utah),130.57,357.0,2021,0.22564517454317914,United States of America (USA)
98,The Hong Kong University of Science and Technology (HKUST),128.04,380.0,2021,0.24018253872943435,China
99,Tongji University,127.42,434.0,2021,0.2743137416015119,China
100,Hebrew University of Jerusalem (HUJI),127.28,301.0,2021,0.19024985304620987,Israel
101,Beijing Normal University (BNU),125.4,407.0,2021,0.25724814016547315,China
102,University of Würzburg (JMU),125.09,363.0,2021,0.22943753041785442,Germany
103,Monash University,124.31,540.0,2021,0.34131202872077515,Australia
104,Lanzhou University (LZU),124.3,297.0,2021,0.18772161579642632,China
105,South China University of Technology (SCUT),123.26,319.0,2021,0.2016269206702357,China
106,University of Florida (UF),121.17,531.0,2021,0.33562349490876225,United States of America (USA)
107,Technion-Israel Institute of Technology (IIT),120.63,277.0,2021,0.17508042954750874,Israel
108,Arizona State University (ASU),119.36,411.0,2021,0.25977637741525667,United States of America (USA)
109,The University of Arizona (Arizona),118.1,446.0,2021,0.28189845335086244,United States of America (USA)
110,Emory University,117.84,367.0,2021,0.2319657676676379,United States of America (USA)
111,Uppsala University (UU),117.05,493.0,2021,0.3116052410358188,Sweden
112,University of Geneva (UNIGE),115.99,388.0,2021,0.2452390132290014,Switzerland
113,King Abdullah University of Science and Technology (KAUST),114.99,267.0,2021,0.16875983642304992,Saudi Arabia
114,Xi'an Jiaotong University (XJTU),113.31,313.0,2021,0.19783456479556039,China
115,Hokkaido University,113.31,290.0,2021,0.18329720060930518,Japan
116,Catholic University of Leuven (KU Leuven),112.35,401.0,2021,0.25345578429079785,Belgium
117,Indiana University (IU),112.19,391.0,2021,0.24713519116633903,United States of America (USA)
118,Rice University,112.12,403.0,2021,0.25471990291568963,United States of America (USA)
119,Boston University (BU),112.01,545.0,2021,0.3444723252830046,United States of America (USA)
120,Kyushu University,111.5,340.0,2021,0.2149001662315992,Japan
121,The University of Melbourne (UniMelb),111.26,575.0,2021,0.36343410465638093,Australia
122,East China University of Science and Technology (ECUST),108.51,268.0,2021,0.16939189573549582,China
123,University of Groningen (RUG),106.91,411.0,2021,0.25977637741525667,Netherlands
124,Sorbonne University,106.14,1115.0,2021,0.7047461333771561,France
125,University of Göttingen,103.94,376.0,2021,0.23765430147965086,Germany
126,University of Erlangen-Nuremberg (FAU),103.91,310.0,2021,0.19593838685822276,Germany
127,Zhengzhou University (ZZU),102.93,419.0,2021,0.26483285191482364,China
128,"University of California, Riverside (UCR)",102.73,320.0,2021,0.20225897998268158,United States of America (USA)
129,University of Alberta (U of A),100.7,322.0,2021,0.20352309860757334,Canada
130,Free University of Berlin (FU Berlin),99.57,588.0,2021,0.3716508757181774,Germany
131,National Taiwan University (NTU),99.21,366.0,2021,0.23133370835519204,Taiwan
132,University of Basel (UB),98.28,328.0,2021,0.20731545448224858,Switzerland
