University,Country,Total Score,Setting & Infrastructure,Energy & Climate Change,Waste,Water,Transportation,Education & Research,Rank
Wageningen University & Research,Netherland,9075,1125,1800,1800,1000,1550,1800,1
University of Oxford,UK,9000,1200,1800,1800,1000,1625,1575,2
"University of California, Davis",USA,8850,1300,1650,1725,1000,1525,1650,3
University of Nottingham,UK,8750,1250,1525,1800,925,1525,1725,4
Nottingham Trent University,UK,8700,1200,1675,1800,700,1525,1800,5
Umwelt-Campus Birkenfeld (Trier University of Applied Sciences),Germany,8625,975,1775,1500,1000,1650,1725,6
Leiden University,Netherland,8475,650,1850,1725,1000,1750,1500,7
University of Groningen,Netherland,8475,925,1575,1800,1000,1525,1650,8
University College Cork,Ireland,8375,900,1750,1725,775,1650,1575,9
Bangor University,UK,8350,1025,1675,1725,425,1700,1800,10
University of Connecticut,USA,8325,1250,1350,1725,925,1425,1650,11
Dublin City University,Ireland,8275,925,1775,1725,900,1400,1550,12
University of Sussex,UK,8275,1050,1725,1725,1000,1275,1500,13
Universita di Bologna,Italy,8275,1100,1525,1650,625,1800,1575,14
University of Bradford,UK,8250,950,1875,1800,1000,1550,1075,15
Universitat Autonoma De Barcelona,Spain,8250,875,1850,1650,850,1475,1550,16
Weifang Institute of Technology,China,8225,1125,1950,1500,875,1500,1275,17
Universidade de Sao Paulo USP,Brazil,8225,1175,1550,1575,925,1525,1475,18
Universidad De Alcala,Spain,8200,1175,1800,1425,800,1350,1650,19
University of Limerick,Ireland,8200,1175,1700,1500,850,1325,1650,20
University of North Carolina Chapel Hill,USA,8200,1325,1350,1800,1000,1200,1525,21
UniversitÃ© de Sherbrooke,Canada,8175,1050,1725,1500,850,1475,1575,22
Freie Universitat Berlin,Germany,8125,1000,1675,1575,700,1550,1625,23
Keele University,UK,8075,1250,1650,1725,650,1300,1500,24
University of Warwick,UK,8075,1050,1575,1650,575,1575,1650,25
Universitat Bayreuth,Germany,8075,1075,1300,1800,850,1500,1550,26
Universitas Indonesia,Indonesia,8025,1050,1625,1500,825,1375,1650,27
Universiti Putra Malaysia,Malaysia,8000,1275,1550,1425,950,1525,1275,28
Universidade Federal de Lavras - UFLA,Brazil,7975,1250,1425,1425,750,1375,1750,29
Aalto University,Finland,7950,950,1425,1650,950,1400,1575,30
Czech University of Life Sciences Prague,Czech Republic,7925,825,1450,1725,1000,1125,1800,31
Delft University of Technology Tu Delft,Netherland,7925,1100,1425,1650,725,1375,1650,32
Shinshu University,Japan,7900,1100,1425,1725,550,1450,1650,33
Universiti Malaya,Malaysia,7900,1100,1100,1500,1000,1475,1725,34
Carleton University,Canada,7850,1025,1475,1500,775,1500,1575,35
Leuphana Universitat Luneburg,Germany,7825,500,2025,1725,625,1400,1550,36
National Pingtung University of Science & Technology,Chinese Taipei,7800,1200,1400,1275,900,1475,1550,37
RUDN University,Russia,7800,1150,1375,1500,775,1650,1350,38
University of Southern Denmark,Denmark,7775,900,1625,1575,1000,1350,1325,39
Bogor Agricultural University,Indonesia,7775,1400,1200,1425,575,1475,1700,40
Universita degli Studi di Torino,Italy,7750,650,1875,1425,700,1450,1650,41
Universidad AutÃ³noma De Occidente,Colombia,7725,925,1475,1725,875,1200,1525,42
Western Michigan University,USA,7725,1375,1475,1275,850,1375,1375,43
King Abdulaziz University,Saudi Arabia,7700,1050,1675,1575,800,1275,1325,44
National Chi Nan University,Chinese Taipei,7675,1325,1350,1425,750,1475,1350,45
Universitat Bremen,Germany,7625,950,1475,1350,925,1475,1450,46
Universitas Gadjah Mada,Indonesia,7625,900,1300,1500,875,1375,1675,47
University of Zanjan,Iran,7625,1225,1125,1500,1000,1150,1625,48
Universidad del Rosario,Colombia,7600,925,1625,1575,700,1500,1275,49
Diponegoro University,Indonesia,7600,750,1575,1350,950,1225,1750,50
McMaster University,Canada,7600,1075,1525,1500,850,1225,1425,51
Universidad Autonoma De Nuevo Leon,Mexico,7600,925,1425,1425,750,1425,1650,52
Universidad Nacional de Colombia,Colombia,7600,1050,1300,1425,800,1525,1500,53
Istanbul Technical University,Turkey,7600,1050,1150,1575,800,1425,1600,54
Universidade do Minho,Portugal,7575,975,1525,1650,700,1150,1575,55
UNSW Sydney,Australia,7575,950,1450,1575,800,1225,1575,56
FundaciÃ³n Universidad del Norte Barranquilla,Colombia,7575,925,1275,1650,1000,1150,1575,57
Universiti Malaysia Sabah (UMS),Malaysia,7575,1175,1250,1275,925,1375,1575,58
Institut Teknologi Sepuluh Nopember,Indonesia,7550,975,1350,1275,925,1225,1800,59
Washington University Saint Louis,USA,7550,1025,1325,1500,925,1375,1400,60
Universidad de Bogota Jorge Tadeo Lozano,Colombia,7525,875,1800,1275,650,1425,1500,61
York University,Canada,7525,1200,1550,1425,750,1225,1375,62
Aalborg University,Denmark,7500,625,1875,1800,775,1125,1300,63
Universiti Utara Malaysia,Malaysia,7500,1225,1200,1125,750,1525,1675,64
Universidad Autonoma de Puebla,Mexico,7475,875,1400,1650,850,1350,1350,65
Trent University,Canada,7475,1125,1175,1800,600,1150,1625,66
University of Eastern Finland,Finland,7450,500,1600,1800,1000,1125,1425,67
Chaoyang University of Technology,Chinese Taipei,7450,925,1475,1500,825,1275,1450,68
Da-Yeh University,Chinese Taipei,7450,900,1325,1500,775,1275,1675,69
National Yunlin University of Science & Technology,Chinese Taipei,7425,1275,1300,1425,750,1425,1250,70
Universitas Negeri Semarang,Indonesia,7400,1050,1475,1125,800,1450,1500,71
University at Albany,USA,7400,950,1250,1500,850,1350,1500,72
Universidade Positivo,Brazil,7375,975,1850,1575,875,775,1325,73
University of Szeged,Hungary,7375,1200,1150,1650,800,1375,1200,74
Mahidol University,Thailand,7350,1100,1175,1125,1000,1475,1475,75
Universiti Malaysia Pahang,Malaysia,7350,1000,900,1350,850,1525,1725,76
Nanhua University Taiwan,Chinese Taipei,7300,1275,1075,1575,850,1475,1050,77
Inseec U,France,7275,225,1425,1800,1000,1100,1725,78
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",Romania,7275,800,1400,1425,650,1500,1500,79
University of Campinas â€“ UNICAMP,Brazil,7275,900,1200,1575,850,1275,1475,80
Kasetsart University,Thailand,7275,1000,1150,1350,850,1350,1575,81
Universiti Teknologi Malaysia,Malaysia,7275,1300,1075,1125,550,1500,1725,82
University of Lincoln,UK,7250,750,1450,1425,850,1500,1275,83
Chulalongkorn University,Thailand,7250,750,1350,1425,625,1400,1700,84
University of A CoruÃ±a,Spain,7225,875,1475,1425,775,1250,1425,85
University of Ottawa,Canada,7225,900,1300,1275,800,1550,1400,86
Hame University of Applied Sciences,Finland,7200,1150,1500,1350,700,1050,1450,87
Universidad Autonoma De Madrid,Spain,7175,1050,1525,1425,625,825,1725,88
Glasgow Caledonian University,UK,7150,75,1650,1800,700,1650,1275,89
Universidad de Oviedo,Spain,7150,1100,1500,1275,700,1425,1150,90
De La Salle University - Dasmarinas,Philippines,7125,750,1475,1575,775,1125,1425,91
Universidad Rey Juan Carlos,Spain,7125,800,1400,1575,600,1300,1450,92
Universitat De Girona,Spain,7075,750,1525,1425,775,1175,1425,93
