Rank,Country,University,P,P(top 50%),PP(top 50%)
1,United States,Harvard Univ,33045,22134,67.0
2,Canada,Univ Toronto,22151,12979,58.6
3,China,Zhejiang Univ,20876,10569,50.6
4,China,Shanghai Jiao Tong Univ,20406,10307,50.5
5,United States,Univ Michigan,18348,11224,61.2
6,China,Tsinghua Univ,16929,9344,55.2
7,United States,Johns Hopkins Univ,16831,10394,61.8
8,Brazil,Univ São Paulo,16120,6900,42.8
9,South Korea,Seoul Natl Univ,15468,7415,47.9
10,United States,Stanford Univ,15364,10458,68.1
11,China,Peking Univ,15182,7982,52.6
12,Japan,Univ Tokyo,14893,7224,48.5
13,United Kingdom,Univ Oxford,14505,9384,64.7
14,United States,Univ Washington,14446,9021,62.4
15,United Kingdom,Univ Coll London,14203,8952,63.0
16,United States,Univ California - Los Angeles,13751,8568,62.3
17,China,Fudan Univ,13512,7031,52.0
18,China,Sichuan Univ,13436,6204,46.2
19,United States,Univ Penn,13301,8368,62.9
20,China,Huazhong Univ Sci & Technol,13141,6771,51.5
21,United Kingdom,Univ Cambridge,13103,8372,63.9
22,Canada,Univ British Columbia,12711,7371,58.0
23,United States,Univ Minnesota - Twin Cities,12487,7124,57.1
24,United States,Univ Wisconsin - Madison,12465,7452,59.8
25,China,Jilin Univ,12392,5483,44.2
26,China,Shandong Univ,12370,5929,47.9
27,China,Sun Yat-sen Univ,12278,6339,51.6
28,United States,Columbia Univ,12249,7672,62.6
29,United States,Univ California - San Diego,12166,7710,63.4
30,Australia,Univ Sydney,12111,6821,56.3
31,United States,Univ Pittsburgh,12044,7096,58.9
32,United States,Ohio State Univ,12014,6797,56.6
33,Australia,Univ Melbourne,12007,6863,57.2
34,Singapore,Natl Univ Singapore,11912,6991,58.7
35,China,Xi'an Jiaotong Univ,11861,5866,49.5
36,United States,Univ California - Berkeley,11811,7995,67.7
37,Australia,Univ Queensland,11793,6836,58.0
38,Denmark,Univ Copenhagen,11781,6666,56.6
39,United States,Cornell Univ,11712,7218,61.6
40,United Kingdom,Imperial Coll London,11445,7242,63.3
41,United States,Duke Univ,11365,7068,62.2
42,Japan,Kyoto Univ,11352,5267,46.4
43,United States,Yale Univ,11278,7324,64.9
44,China,Harbin Inst Technol,11182,5557,49.7
45,United States,Univ Florida,11128,5804,52.2
46,Canada,McGill Univ,11026,6242,56.6
47,United States,Penn State Univ,10768,6078,56.4
48,United States,Univ California - Davis,10714,6120,57.1
49,China,Nanjing Univ,10677,5635,52.8
50,China,Cent S Univ,10559,5070,48.0
51,United States,Northwestern Univ,10500,6711,63.9
52,South Korea,Yonsei Univ,10423,4736,45.4
53,Canada,Univ Alberta,10409,5471,52.6
54,United States,MIT,10408,7295,70.1
55,Belgium,Katholieke Univ Leuven,10390,6185,59.5
56,United States,Univ N Carolina - Chapel Hill,10209,6189,60.6
57,United States,Case West Reserve Univ,10157,5674,55.9
58,Australia,Univ New S Wales,10050,5636,56.1
59,Taiwan,Natl Taiwan Univ,9994,4723,47.3
60,United States,Univ California - San Francisco,9934,6459,65.0
61,Belgium,Ghent Univ,9915,5636,56.8
62,United States,Univ Illinois - Urbana-Champaign,9862,5767,58.5
63,United Kingdom,Univ Manchester,9567,5633,58.9
64,Australia,Monash Univ,9501,5325,56.1
65,United States,Univ Texas - Austin,9485,5742,60.5
66,Singapore,Nanyang Technol Univ,9435,5699,60.4
67,Netherlands,Utrecht Univ,9364,5716,61.0
68,China,Wuhan Univ,9245,4723,51.1
69,United States,Texas A&M Univ - College Stn,9169,4785,52.2
70,Italy,Sapienza Univ Rome,9115,4479,49.1
71,Switzerland,ETH Zurich,9084,5888,64.8
72,Japan,Tohoku Univ,9002,4056,45.1
73,Japan,Osaka Univ,8854,3914,44.2
74,United States,Univ Texas - Hlth Sci Ctr - Houston,8829,5354,60.6
75,China,Univ Sci & Technol China,8820,4822,54.7
76,Israel,Tel Aviv Univ,8737,4231,48.4
77,Netherlands,Univ Amsterdam,8731,5264,60.3
78,China,Tongji Univ,8729,4297,49.2
79,United States,Washington Univ St Louis,8729,5447,62.4
80,United States,NYU,8649,5289,61.1
81,China,Tianjin Univ,8583,4339,50.6
82,France,Sorbonne Univ,8409,4811,57.2
83,United States,Purdue Univ - W Lafayette,8359,4572,54.7
84,United States,Rutgers Univ,8347,4515,54.1
85,United States,Vanderbilt Univ,8265,4924,59.6
86,United States,Univ South California,8134,4806,59.1
87,Sweden,Karolinska Inst,8097,4689,57.9
88,South Korea,Sungkyunkwan Univ,7920,3694,46.6
89,Sweden,Lund Univ,7875,4338,55.1
90,China,Southeast Univ,7867,3813,48.5
91,China,Dalian Univ Technol,7750,3918,50.6
92,Germany,Heidelberg Univ,7741,4441,57.4
93,Switzerland,Univ Zurich,7720,4552,59.0
94,Netherlands,Univ Groningen,7700,4551,59.1
95,United States,Emory Univ,7679,4581,59.7
96,United Kingdom,King's Coll London,7612,4710,61.9
97,South Korea,Korea Univ,7535,3425,45.5
98,United States,Univ Chicago,7508,4781,63.7
99,Germany,Ludwig-Maximilians Univ München,7466,4314,57.8
100,China,Soochow Univ,7391,3747,50.7
101,Finland,Univ Helsinki,7344,3946,53.7
102,Italy,Univ Padova,7326,3905,53.3
103,China,Beihang Univ,7318,3478,47.5
104,China,S China Univ Technol,7232,3883,53.7
105,Germany,Tech Univ Munich,7228,4205,58.2
106,United Kingdom,Univ Edinburgh,7190,4321,60.1
107,United States,Michigan State Univ,7165,3895,54.4
108,Italy,Univ Bologna,7106,3616,50.9
109,Netherlands,Vrije Univ Amsterdam,7054,4266,60.5
110,Malaysia,Univ Malaya,7014,3257,46.4
111,China,Univ Hong Kong,7004,3804,54.3
112,Mexico,Natl Auto Univ Mexico,6971,2651,38.0
113,United States,Univ Maryland - College Park,6938,4156,59.9
114,Netherlands,Erasmus Univ Rotterdam,6924,4232,61.1
115,Sweden,Uppsala Univ,6877,3731,54.3
116,Norway,Univ Oslo,6854,3706,54.1
117,Netherlands,Radboud Univ,6835,4072,59.6
118,United States,Univ Utah,6807,3824,56.2
119,Japan,Kyushu Univ,6805,2883,42.4
120,Portugal,Univ Lisboa,6723,3359,50.0
121,Italy,Univ Milan,6706,3469,51.7
122,United States,Univ Arizona,6698,3657,54.6
123,Denmark,Aarhus Univ,6691,3747,56.0
124,United States,Georgia Inst Technol,6631,3908,58.9
125,Canada,Univ Calgary,6541,3532,54.0
126,Japan,Hokkaido Univ,6503,2701,41.5
127,United Kingdom,Univ Nottingham,6497,3690,56.8
128,Canada,West Univ,6453,3388,52.5
129,Netherlands,Leiden Univ,6409,3952,61.7
130,Canada,McMaster Univ,6291,3378,53.7
131,United States,Univ California - Irvine,6279,3755,59.8
132,United States,Univ Cincinnati,6264,3491,55.7
133,United States,Univ Tennessee - Knoxville,6261,3332,53.2
134,France,Aix-Marseille Univ,6247,3223,51.6
135,China,Xiamen Univ,6242,3194,51.2
136,United States,N Carolina State Univ,6224,3249,52.2
137,Japan,Nagoya Univ,6197,2781,44.9
138,United Kingdom,Univ Bristol,6153,3783,61.5
139,Canada,Univ Ottawa,6134,3287,53.6
140,Spain,Univ Barcelona,6105,3300,54.1
141,United States,Boston Univ,6095,3643,59.8
142,United States,Univ Iowa,6093,3359,55.1
143,United States,Arizona State Univ,6086,3421,56.2
144,United Kingdom,Univ Southampton,6054,3526,58.2
145,Portugal,Univ Porto,5993,3096,51.7
146,South Korea,Korea Adv Inst Sci & Technol,5964,3189,53.5
147,Taiwan,Natl Cheng Kung Univ,5932,2555,43.1
148,United States,Univ Colorado - Denver,5859,3362,57.4
149,Serbia,Univ Belgrade,5828,2278,39.1
150,Brazil,Univ Estadual Paulista,5817,2361,40.6
151,Australia,Univ West Australia,5804,3182,54.8
152,South Korea,Hanyang Univ,5792,2433,42.0
153,Canada,Univ Waterloo,5775,3103,53.7
154,Italy,Univ Naples Federico II,5673,2955,52.1
155,Canada,Univ Montréal,5673,3032,53.4
156,United States,Univ Colorado - Boulder,5654,3591,63.5
157,Germany,RWTH Aachen Univ,5647,3065,54.3
158,United States,Univ Virginia,5626,3320,59.0
159,Saudi Arabia,King Saud Univ,5600,2200,39.3
160,Switzerland,Ecole Polytech Féd Lausanne,5599,3674,65.6
161,China,Chinese Univ Hong Kong,5598,3139,56.1
162,China,E China Univ Sci & Technol,5593,2841,50.8
163,United States,Univ Illinois - Chicago,5568,2970,53.4
164,Czech Republic,Charles Univ,5561,2334,42.0
165,China,Peking Union Med Coll,5533,2567,46.4
166,United States,Virginia Tech,5525,2848,51.5
167,United Kingdom,Univ Sheffield,5501,3113,56.6
168,United Kingdom,Univ Birmingham,5489,3183,58.0
169,Australia,Univ Adelaide,5485,3095,56.4
170,China,Capital Med Univ,5478,2312,42.2
171,China,Chongqing Univ,5474,2603,47.6
172,China,Univ Electron Sci & Technol China,5473,2460,45.0
173,Germany,Friedrich-Alexander-Univ Erlangen-Nürnberg,5469,3010,55.0
174,Denmark,Tech Univ Denmark,5455,3237,59.3
175,Israel,Hebrew Univ Jerusalem,5452,2782,51.0
176,China,Northwestern Polytech Univ,5451,2629,48.2
177,United States,Univ Georgia - Athens,5446,2778,51.0
178,Germany,Univ Hamburg,5426,2997,55.2
179,Iran,Univ Tehran,5422,2503,46.2
180,China,Nankai Univ,5408,3038,56.2
181,China,Beijing Inst Technol,5394,2640,48.9
182,China,Lanzhou Univ,5360,2837,52.9
183,United States,Univ Connecticut,5359,2891,53.9
184,United Kingdom,Univ Leeds,5341,3148,58.9
185,France,Paris-Sud Univ,5337,3133,58.7
186,Brazil,Univ Campinas,5336,2365,44.3
