Rank,University,Country,Article,Citation,Total Document,AIT,CIT,Collaboration,Total
1,Harvard University,USA,126.0,126.0,60.0,90.0,90.0,108.0,600.0
2,University of Toronto,CANADA,121.12,123.77,59.0,107.0,86.34,89.0,586.23
3,University College London,ENGLAND,118.48,122.79,57.38,106.19,86.53,88.13,579.5
4,Stanford University,USA,115.66,125.0,55.95,106.6,89.0,80.39,572.61
5,University of Oxford,ENGLAND,115.02,121.68,56.04,104.35,85.61,86.04,568.75
6,Johns Hopkins University,USA,115.81,121.51,56.66,105.14,85.89,80.69,565.69
7,University of Cambridge,ENGLAND,111.0,118.89,53.79,102.09,84.45,83.04,553.25
8,University of Michigan,USA,115.97,118.35,56.02,102.55,82.44,77.54,552.87
9,University of Washington Seattle,USA,110.84,119.58,54.21,103.23,85.52,76.49,549.87
10,Tsinghua University,CHINA MAINLAND,118.15,117.63,53.98,101.59,81.58,74.53,547.46
11,Shanghai Jiao Tong University,CHINA MAINLAND,125.0,114.36,55.22,100.6,78.02,74.25,547.45
12,Imperial College London,ENGLAND,108.13,117.5,53.07,100.45,83.89,83.15,546.2
13,Universite Paris Saclay,FRANCE,111.33,115.93,53.88,99.65,80.95,83.16,544.9
14,University of Pennsylvania,USA,111.63,117.31,55.08,101.84,83.73,75.29,544.88
15,Zhejiang University,CHINA MAINLAND,124.01,113.39,54.41,98.61,76.56,73.51,540.48
16,University of California Los Angeles,USA,108.83,116.48,53.98,100.78,83.07,76.9,540.04
17,Massachusetts Institute of Technology (MIT),USA,103.92,119.78,50.64,101.5,87.56,76.19,539.59
18,Sorbonne Universite,FRANCE,110.24,114.81,53.29,98.11,79.82,82.75,539.03
19,Columbia University,USA,107.5,116.03,53.37,100.02,82.6,76.41,535.94
20,University of Sydney,AUSTRALIA,109.06,113.71,53.41,98.29,79.91,80.62,535.0
21,University of Copenhagen,DENMARK,107.91,113.7,51.81,98.17,80.38,81.11,533.08
22,Peking University,CHINA MAINLAND,117.33,113.3,53.0,97.61,77.65,73.38,532.28
